city,state,slug,market_type,peak_season_start,peak_season_end,llm_context,category,tier_order,tier_name,pricing_type,price_low_peak,price_high_peak,price_low_off_peak,price_high_off_peak,blurb,foodModel,alcoholModel,foodMinimum,alcoholMinimum,minimumIsCombined
Asheville,North Carolina,asheville,metro,May,October,,Attire & Beauty,1,Designer / Couture,flat,4500,12000,4500,11000,"Asheville's bridal boutique scene reflects the city's creative and arts-focused identity. White Magnolia Bridal and similar boutiques on Lexington Avenue and in the South Slope carry mid-to-upper designer gowns from $2,500 to $6,000, with some carrying labels above $10,000. Destination brides often visit Charlotte or Atlanta boutiques for couture labels unavailable in Asheville. Professional alterations ($300 to $500), hair and makeup from Asheville's artisan beauty studios ($250 to $450 per session), and partner attire bring total attire and beauty spend to $4,500 to $12,000 at this tier.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Attire & Beauty,2,Bridal Boutique,flat,1800,4800,1800,4300,"Bridal boutiques in the River Arts District and on Merrimon Avenue carry a solid range of mid-market gowns from $1,200 to $3,500 with personalized styling. Wedding.report puts Asheville hair and makeup at $201 to $245 per bride; adding professional styling for the partner and any wedding party members, plus partner attire, brings boutique-tier total to $1,800 to $4,800.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Attire & Beauty,3,Mid-Range / Sample Sale,flat,800,2500,800,2200,"Asheville sample sales and online platforms including Still White and PreOwnedWeddingDresses.com provide boutique gowns at 40 to 70 percent off retail. Mid-range hair and makeup from West Asheville or South Slope salons runs $120 to $200 each. Total mid-range attire and beauty for both partners runs $800 to $2,500.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Attire & Beauty,4,Budget / Off-the-Rack,flat,300,1000,300,850,"Online retailers from Azazie and ASOS Wedding offer dresses from $150 to $600. Men's Wearhouse in Asheville covers suit and tuxedo rental from $200 to $300. Self-done or budget salon beauty keeps the total in range. Appropriate for Blue Ridge elopements, micro-ceremonies at mountain overlooks, and small farm gatherings where the landscape is doing most of the visual work.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Bar & Beverages,1,Premium Open Bar,per_head,58,90,48,75,"Premium spirits â€” including locally distilled spirits from Troy & Sons Distillery in Asheville (North Carolina's first legal moonshine distillery) and Eda Rhyne Distilling Co. â€” alongside Asheville's extraordinary craft beer, Appalachian-sourced wines, and signature craft cocktails on full pour. A premium bar package from a licensed North Carolina bar service for a five-hour reception runs $58 to $90 per head. North Carolina ABC regulations require all events to use licensed bartenders.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Bar & Beverages,2,Standard Open Bar,per_head,38,60,32,52,"Mid-shelf spirits, house wine, and Asheville craft beer from Highland Brewing (the city's founding craft brewery since 1994), Burial Beer Co., and Wicked Weed Brewing on full pour for the reception. Heart of NC Weddings notes a mid-tier liquor package costs about $5,000 for 100 guests â€” roughly $50 per head; adjusting for a five-hour service window, standard open bar from a licensed bar company runs $38 to $60 per person.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Bar & Beverages,3,Beer & Wine Only,per_head,24,38,20,32,"Beer and wine service without spirits. Featuring Asheville's remarkable craft beer scene â€” Highland Brewing, Burial Beer, Wicked Weed, Twin Leaf Brewery â€” gives a beer-and-wine bar genuine local character that guests from outside Western NC genuinely appreciate. Asheville's reputation as Beer City USA makes this tier feel locally curated rather than budget-driven. Budget $24 to $38 per person for professionally managed beer and wine service.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Bar & Beverages,4,Dry Wedding,per_head,5,12,5,10,"No alcohol service. Non-alcoholic craft beverages â€” locally brewed kombucha from Buchi Kombucha in Marshall, sparkling cider from local orchards, lavender lemonade, and coffee from Appalachian coffee roasters â€” fit naturally into Asheville's wellness and craft beverage culture. Some mountain retreat venues are dry by policy. Budget covers non-alcoholic beverage service and any setup fees.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Catering,1,Full-Service Fine Dining,per_head,95,145,80,120,"White-glove plated service built around Asheville's extraordinary farm-to-table culinary identity: heritage meats from Western North Carolina farms, Appalachian-foraged mushrooms and ramps, local trout, and vegetable-forward courses from the region's organic farming community. Asheville has more restaurants per capita than almost any city in the US, and that culinary depth extends into its wedding catering market. Full-service plated dinner catering at the top tier runs $95 to $145 per person before North Carolina's 7 percent food tax and the standard 18 to 20 percent service charge.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Catering,2,Seated Dinner with Staffed Service,per_head,68,100,58,85,"A full plated or family-style seated dinner with professional staffing and a menu rooted in Appalachian and North Carolina food culture â€” sourwood honey-glazed pork, locally milled grits, wood-fired vegetable sides, and mountain stream trout. Carolina Love Events recommends setting aside 25 to 35 percent of the total budget for catering and bar; for a $35,000 wedding that's $8,750 to $12,250. Working backward to food-only catering at a professional service level runs $68 to $100 per head at this tier.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Catering,3,Buffet / Family Style,per_head,48,75,40,62,"Buffet and family-style service â€” including farm-to-table spreads, North Carolina barbecue buffets, and Appalachian comfort food stations â€” at Blue Ridge barn and farm venues where the format fits the aesthetic. Many of Asheville's barn venues permit outside caterers, giving couples access to the city's strong independent catering community. Budget $48 to $75 per head for buffet service from an established Asheville-area caterer before service charges and tax.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Catering,4,Cocktail Reception / Stations,per_head,35,55,30,48,"Heavy appetizers and food stations â€” charcuterie with local cheesemakers from Spinning Spider Creamery, deviled eggs with North Carolina country ham, wood-roasted vegetable boards, and passed small plates from a farm-to-table menu. Works well at Asheville's smaller barn venues, outdoor garden spaces, and Highland Brewing's event areas where standing and grazing fits the brewery aesthetic.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Catering,5,DIY / Self-Catered,per_head,12,35,12,30,"A family property or small mountain gathering where food comes from trusted Asheville institutions doing catering â€” Tupelo Honey's catering arm, a local barbecue pit, or a farm-to-table spread organized by the couple's community. Asheville's strong food culture and farmers market access (North Asheville Tailgate Market and West Asheville Tailgate Market both run year-round) make DIY catering genuinely viable for small gatherings. For anything at a venue with caterer requirements, this tier isn't available.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Florals & Decor,1,Couture Floral Design,flat,14000,20000,11500,16000,"Full-scale venue transformation by Asheville's most sought-after floral studios â€” ceiling installations in barn rafters, immersive ceremony arches, and tablescapes using rare locally grown wildflowers, dried grasses, and foraged Appalachian botanicals. These studios work with multi-month lead times, have specific Biltmore Estate credentials, and bring a couture sensibility to the mountain environment.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Florals & Decor,2,Full Floral Installation,flat,8000,14000,6500,11500,"Large-scale floral design with an Appalachian mountain sensibility â€” locally grown wildflowers, dried grasses, trailing ferns, and lush foliage installations that complement rather than compete with the Blue Ridge backdrop. Full installation work at an estate venue or large barn with ceremony arch and full tablescapes runs $8,000 to $14,000 for skilled Asheville studios.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Florals & Decor,3,Traditional Florals,flat,3000,7000,2500,5800,"The full complement of wedding florals with an Appalachian mountain character: bridal bouquet of locally grown dahlias, cosmos, and wildflowers, ceremony arch of mountain laurel and greenery, and reception centerpieces that bring the forest inside. Heart of NC Weddings puts full table designs at $65 to $250 per table; for a 15-table reception with ceremony and personal flowers, a full traditional package runs $3,000 to $7,000.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Florals & Decor,4,Minimal Florals + Rentals,flat,1200,3500,1000,2800,"A scaled-back floral plan paired with the inherent decor of Asheville's mountain venues â€” cedar wood, exposed barn timber, mountain views through open barn doors, and the Blue Ridge landscape as the visual backdrop. Edison lights through barn rafters, lanterns, and simple greenery runners complement the architectural character without requiring a full floral installation.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Florals & Decor,5,DIY / Dried / Greenery Only,flat,250,1500,250,1200,"Dried pampas grass, preserved ferns, locally sourced mountain laurel, and wildflowers from the Never Ending Flower Farm in Barnardsville. Asheville's farm community and the Appalachian landscape provide extraordinary raw material for DIY florals. Franny's Farm, an 18-acre organic farm in Asheville with a u-pick blueberry hill and on-site flower garden, is a genuine resource for couples doing their own arrangements.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Music & Entertainment,1,Premium Live Band (10â€“12 Piece),flat,8000,12000,6500,9500,"A full 10 to 12-piece band â€” complete horn section, multiple vocalists, full rhythm section â€” drawn from Asheville's extraordinarily deep Americana, bluegrass, and folk rock music scene. Acts at this level perform regionally and nationally, bring professional production specs, and deliver a full-evening entertainment experience that captures the Blue Ridge musical culture. A marquee live band in an Asheville barn is among the most tonally perfect wedding entertainment experiences in the American South.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Music & Entertainment,2,Live Band (6â€“8 Piece),flat,4500,8000,3500,6500,"A full reception band of 6 to 8 musicians in Asheville, where the music scene is disproportionately strong for the city's size â€” Americana, bluegrass, folk rock, and indie country are the native registers. Wedding.report puts Asheville live band spend at $3,132 to $3,828 on average; skilled acts with wedding entertainment reputations run $4,500 to $8,000.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Music & Entertainment,3,Live Band (Ceremony or Cocktail Only),flat,1800,5000,1500,4000,"A string quartet, acoustic folk duo, or bluegrass trio for the ceremony and cocktail hour paired with a DJ for the reception. In Asheville, a mountain dulcimer or acoustic guitar duo during a Blue Ridge Parkway ceremony is a genuinely moving musical choice. Local acoustic acts and Americana duos run $600 to $1,500 for ceremony and cocktail coverage. Combined with a reception DJ, total entertainment spend lands in this tier.",extra,extra,,,false
