city_slug,category,tier_order,example_label,price_peak,price_off_peak,display_order,guestCount
napa-sonoma,Venue,1,Top-tier resorts like Auberge du Soleil or Meadowood,155000,110000,1,
napa-sonoma,Venue,1,Venues like Four Seasons Napa Valley or The Estate Yountville,110000,80000,2,
napa-sonoma,Venue,1,Solage Calistoga or comparable Auberge Collection resorts,95000,68000,3,
napa-sonoma,Venue,2,Carneros Resort and Spa or Beaulieu Garden,65000,48000,1,
napa-sonoma,Venue,2,Estates like V. Sattui Winery or SSS Ranch,50000,38000,2,
napa-sonoma,Venue,2,Tre Posti or Hans Fahden Vineyards,42000,30000,3,
napa-sonoma,Venue,3,The Meritage Resort & Spa or Silverado Resort,35000,26000,1,
napa-sonoma,Venue,3,Hotel Villagio or Vintage House,28000,21000,2,
napa-sonoma,Venue,3,Andaz Napa or North Block Hotel,24000,18000,3,
napa-sonoma,Venue,4,Madrona Manor or MacArthur Place Hotel & Spa,21000,15000,1,
napa-sonoma,Venue,4,Las Alcobas Napa Valley or The Wine Country Inn,17000,12500,2,
napa-sonoma,Venue,4,Mountain House Estate or Highlands Estate,14000,10000,3,
new-york-city,Venue,1,The Rainbow Room or The Plaza Hotel,140000,110000,1,
new-york-city,Venue,1,New York Public Library or The Pierre,130000,100000,2,
new-york-city,Venue,1,Cipriani Wall Street or Cipriani 42nd Street,120000,92000,3,
new-york-city,Venue,2,Gotham Hall or comparable historic landmarks,100000,78000,1,
new-york-city,Venue,2,620 Loft & Garden or Tribeca Rooftop,92000,70000,2,
new-york-city,Venue,2,The Metropolitan Club or The Union League Club,85000,65000,3,
new-york-city,Venue,3,Mandarin Oriental or Four Seasons NYC Downtown,55000,40000,1,
new-york-city,Venue,3,Lotte New York Palace or The St. Regis,45000,33000,2,
new-york-city,Venue,3,The Mark Hotel or The Carlyle,40000,30000,3,
new-york-city,Venue,4,Vesper or The Bowery Hotel,30000,22000,1,
new-york-city,Venue,4,Celestine or The William Vale,24000,17000,2,
new-york-city,Venue,4,The Foundry or Brooklyn Winery,20000,14500,3,
aspen-vail,Venue,1,The Little Nell or Hotel Jerome (Aspen icons),130000,88000,1,
aspen-vail,Venue,1,Four Seasons Vail or Park Hyatt Beaver Creek (full buyout),105000,70000,2,
aspen-vail,Venue,1,Aspen Meadows Resort or The St. Regis Aspen,90000,60000,3,
aspen-vail,Venue,2,The 10th at Vail Mountain or Piney River Ranch,55000,38000,1,
aspen-vail,Venue,2,Camp Hale or Beaver Creek mountain venues,42000,28000,2,
aspen-vail,Venue,2,Beano's Cabin or SaddleRidge Beaver Creek,35000,23000,3,
aspen-vail,Venue,3,Vail Mountain Arrabelle Square or The Sebastian Vail,28000,19000,1,
aspen-vail,Venue,3,Westin Riverfront Resort or Park Hyatt Beaver Creek,22000,15000,2,
aspen-vail,Venue,3,Grand Hyatt Vail or Antlers at Vail,17000,11500,3,
aspen-vail,Venue,4,Limelight Hotel Aspen or Tivoli Lodge Vail,17000,12000,1,
aspen-vail,Venue,4,Viceroy Snowmass or Vail Golf Clubhouse,13000,9000,2,
aspen-vail,Venue,4,Donovan Pavilion or T-Lazy-7 Event Lodge,11000,7500,3,
los-angeles,Venue,1,The Beverly Hills Hotel or Hotel Bel-Air,50000,38000,1,
los-angeles,Venue,1,Greystone Mansion or The Ebell of Los Angeles,45000,34000,2,
los-angeles,Venue,2,Vibiana or The Ebell of Los Angeles,38000,28000,1,
los-angeles,Venue,2,Calamigos Ranch or Saddlerock Ranch Malibu,33000,25000,2,
los-angeles,Venue,2,Cielo Farms or Triunfo Creek Vineyards,30000,22500,3,
los-angeles,Venue,3,The Beverly Hilton or Beverly Wilshire,36000,27000,1,
los-angeles,Venue,3,Fairmont Century Plaza or The Langham Huntington,28000,21000,2,
los-angeles,Venue,3,The Majestic Downtown or InterContinental Downtown LA,23000,17000,3,
los-angeles,Venue,4,Carondelet House or Millwick (DTLA),19000,14000,1,
los-angeles,Venue,4,SmogShoppe or The 1909 (Topanga),15000,11000,2,
los-angeles,Venue,4,The Oviatt or Forge Studios,12500,9000,3,
maui,Venue,1,Four Seasons Wailea or Montage Kapalua Bay,115000,90000,1,
maui,Venue,1,Grand Wailea or Andaz Maui at Wailea Resort,90000,72000,2,
maui,Venue,1,Fairmont Kea Lani or The Ritz-Carlton Maui Kapalua,75000,58000,3,
maui,Venue,2,Olowalu Plantation House or Haiku Mill,50000,38000,1,
maui,Venue,2,Hotel Wailea or Kukahiko Estate,38000,30000,2,
maui,Venue,2,Merriman's Kapalua or Mama's Fish House (private events),32000,25000,3,
maui,Venue,3,Wailea Beach Resort or Hyatt Regency Maui Kaanapali,28000,21000,1,
maui,Venue,3,Marriott's Maui Ocean Club or Westin Maui Resort,22000,16500,2,
maui,Venue,3,Sheraton Maui Resort or Royal Lahaina Resort,18000,13500,3,
maui,Venue,4,Gather on Maui or Pineapple Chapel,18000,13500,1,
maui,Venue,4,Hyatt Place Wailea or Outrigger Honua Kai Resort,14000,10500,2,
maui,Venue,4,The Plantation House or Sea House Restaurant (Napili Kai),11500,8500,3,
houston,Venue,1,River Oaks Country Club or The Houstonian,88000,70000,1,
houston,Venue,1,The Bell Tower on 34th or The Astorian,75000,58000,2,
houston,Venue,1,Hughes Manor or Marquee Houston,65000,50000,3,
houston,Venue,2,Chateau Polonez or Memorial Park Lakeside Country Club,38000,28000,1,
houston,Venue,2,The Astorian or Houstonian Manor House,32000,23000,2,
houston,Venue,2,The Annex Houston or Hughes Manor (estate package),26000,19000,3,
houston,Venue,3,The Post Oak Hotel or Four Seasons Houston,25000,19000,1,
houston,Venue,3,The Houstonian Hotel or Hotel ZaZa Memorial City,20000,15000,2,
houston,Venue,3,JW Marriott Houston Downtown or The Westin Houston Memorial City,16500,12500,3,
lake-tahoe,Venue,1,"The Ritz-Carlton, Lake Tahoe or Edgewood Tahoe",105000,72000,1,
lake-tahoe,Venue,1,Resort at Squaw Creek or Everline Resort (full buyout),85000,58000,2,
lake-tahoe,Venue,1,Hyatt Regency Lake Tahoe (premium package),70000,45000,3,
lake-tahoe,Venue,2,West Shore Cafe & Inn or Olympic Valley Stables,40000,26000,1,
lake-tahoe,Venue,2,Valhalla Tahoe or PlumpJack Inn,32000,21000,2,
lake-tahoe,Venue,2,Round Hill Pines Beach Resort or Lake Tahoe Wedding Lodge,26000,17000,3,
lake-tahoe,Venue,3,Hyatt Regency Lake Tahoe or The Landing Resort & Spa,24000,16000,1,
lake-tahoe,Venue,3,Heavenly Mountain Resort or Northstar California Resort,18000,12000,2,
lake-tahoe,Venue,3,Granlibakken Tahoe or Tahoe Mountain Club,15000,10500,3,
san-diego,Venue,1,Hotel del Coronado or Rancho Valencia Resort & Spa,85000,68000,1,
san-diego,Venue,1,Park Hyatt Aviara or Fairmont Grand Del Mar,72000,55000,2,
san-diego,Venue,1,L'Auberge Del Mar or Rancho Bernardo Inn,60000,46000,3,
san-diego,Venue,2,Estancia La Jolla Hotel & Spa or Green Gables Estate,37000,28000,1,
san-diego,Venue,2,Darlington House or Mt. Woodson Castle,30000,23000,2,
san-diego,Venue,2,Calamigos Ranch Malibu (south option) or Cuvier Club La Jolla,25000,18500,3,
san-diego,Venue,3,Hilton San Diego Bayfront or Marriott Marquis San Diego,25000,18500,1,
san-diego,Venue,3,Paradise Point Resort & Spa or Hyatt Regency Mission Bay,20000,15000,2,
san-diego,Venue,3,The Westgate Hotel or Manchester Grand Hyatt,16500,12500,3,
san-francisco,Venue,1,Filoli or The Westin St. Francis (Grand Ballroom),65000,48000,1,
san-francisco,Venue,1,The SF Mint or City Hall San Francisco (private buyout),58000,43000,2,
san-francisco,Venue,2,The Julia Morgan Ballroom or The Carnelian Room,48000,35000,1,
san-francisco,Venue,2,The Presidio Officers' Club or Cavallo Point,42000,30000,2,
san-francisco,Venue,2,Pacific Heights mansion buyouts (private estates),38000,27500,3,
san-francisco,Venue,3,The Fairmont San Francisco or Palace Hotel Garden Court,36000,25000,1,
san-francisco,Venue,3,The Ritz-Carlton San Francisco or Four Seasons SF,30000,21000,2,
san-francisco,Venue,3,InterContinental Mark Hopkins or Hotel Vitale,25000,17500,3,
sedona,Venue,1,Enchantment Resort or L'Auberge de Sedona,80000,52000,1,
sedona,Venue,1,Mii amo Spa Resort or Amara Resort & Spa (full buyout),68000,44000,2,
sedona,Venue,1,Sedona Rouge Resort or Sky Ranch Lodge (premium package),55000,35000,3,
sedona,Venue,2,Agave of Sedona or The Wilde Resort & Spa,33000,22000,1,
sedona,Venue,2,Ambiente Sedona or Orchard Canyon on Oak Creek,27000,18000,2,
sedona,Venue,2,Sedona Golf Resort or Tlaquepaque Arts & Crafts Village,22000,14500,3,
sedona,Venue,3,Hilton Sedona Resort at Bell Rock or Sedona Rouge Hotel,22000,15000,1,
sedona,Venue,3,Poco Diablo Resort or Junipine Resort,17000,12000,2,
sedona,Venue,3,Hyatt Pinon Pointe Sedona or Best Western Plus Inn of Sedona,14000,9500,3,
washington-dc,Venue,3,Four Seasons Georgetown or The Hay-Adams,27000,19500,1,
washington-dc,Venue,3,The Willard InterContinental or The Jefferson Hotel,22000,16000,2,
washington-dc,Venue,3,Mandarin Oriental DC or The Ritz-Carlton Georgetown,19000,13500,3,
key-west,Venue,1,Casa Marina or Sunset Key Cottages,88000,62000,1,
key-west,Venue,1,The Reach Key West or The Marker Resort (full buyout),70000,50000,2,
key-west,Venue,1,Ocean Key Resort or Margaritaville Beach House (premium),58000,38000,3,
key-west,Venue,2,Audubon House & Tropical Gardens or Hemingway Home,33000,23000,1,
key-west,Venue,2,Curry Mansion Inn or Old Town Manor,27000,19000,2,
key-west,Venue,2,The Key West Lighthouse or Truman Little White House,22000,15500,3,
key-west,Venue,3,Hyatt Centric Key West or Southernmost Beach Resort,23000,16500,1,
key-west,Venue,3,Beachside Resort & Residences or Margaritaville Beach House,19000,13500,2,
key-west,Venue,3,The Perry Hotel & Marina or Oceans Edge Key West,15500,11000,3,
portland,Venue,1,The Ritz-Carlton Portland or The Allison Inn & Spa (Newberg),72000,58000,1,
portland,Venue,1,The Nines or The Sentinel Hotel (full landmark experience),60000,48000,2,
portland,Venue,1,The Heathman Hotel or The Benson Hotel (premium package),50000,40000,3,
portland,Venue,2,Victorian Belle Mansion or McMenamins Edgefield,28000,21000,1,
portland,Venue,2,The Portland Garden Club or Pittock Mansion (private events),23000,17000,2,
portland,Venue,2,Cathedral Park Place or Castaway Portland,19500,14500,3,
portland,Venue,3,The Sentinel Hotel or Hilton Portland Downtown,17500,13000,1,
portland,Venue,3,Portland Marriott Downtown Waterfront or The Duniway Hotel,13500,10000,2,
portland,Venue,3,Embassy Suites Portland Downtown or The Westin Portland,10500,7500,3,
salt-lake-city,Venue,1,The Grand America Hotel or Stein Eriksen Lodge (Deer Valley),62000,48000,1,
salt-lake-city,Venue,1,Montage Deer Valley or Pendry Park City,52000,40000,2,
salt-lake-city,Venue,1,The St. Regis Deer Valley or The Lodge at Blue Sky,42000,32000,3,
salt-lake-city,Venue,2,La Caille or Thanksgiving Point Gardens,22000,16500,1,
salt-lake-city,Venue,2,Wadley Farms or Sleepy Ridge Weddings,17500,13000,2,
salt-lake-city,Venue,2,Le Jardin or Rustic Mountain Lodge,14000,10500,3,
salt-lake-city,Venue,3,The Grand America Hotel (ballroom packages) or Hyatt Regency SLC,16000,11500,1,
salt-lake-city,Venue,3,Little America Hotel or Marriott City Creek SLC,12500,9000,2,
salt-lake-city,Venue,3,Hilton Salt Lake City Center or Sheraton Salt Lake City,9500,7000,3,
tampa-st-pete,Venue,1,The Vinoy St. Pete Resort or Don CeSar Hotel,85000,62000,1,
tampa-st-pete,Venue,1,Innisbrook Resort or Westshore Yacht Club,72000,52000,2,
tampa-st-pete,Venue,1,Le M̩ridien Tampa or Tampa Yacht Club (full buyout),60000,42000,3,
tampa-st-pete,Venue,2,Safety Harbor Resort & Spa or Powel Crosley Estate,30000,22000,1,
tampa-st-pete,Venue,2,Bella Cosa Lake Wales or Sunken Gardens,25000,18000,2,
tampa-st-pete,Venue,2,Cross Creek Ranch or The Cypress Grove Estate House,20500,14500,3,
tampa-st-pete,Venue,3,Hyatt Regency Clearwater Beach or Westin Tampa Waterside,19000,14000,1,
tampa-st-pete,Venue,3,TradeWinds Resort St. Pete Beach or Sirata Beach Resort,14500,10500,2,
tampa-st-pete,Venue,3,Tampa Marriott Water Street or Hilton Clearwater Beach Resort,11000,8000,3,
detroit,Venue,1,Meadow Brook Hall or The Detroit Institute of Arts,58000,42000,1,
detroit,Venue,1,MGM Grand Detroit or Shinola Hotel (full buyout),48000,35000,2,
detroit,Venue,1,The Henry Ford or Roostertail Detroit (premium package),40000,28000,3,
detroit,Venue,2,The Whitney or Grosse Pointe War Memorial,23000,17000,1,
detroit,Venue,2,The Inn at St. John's or Greenfield Village (Henry Ford),18500,13500,2,
detroit,Venue,2,The Colony Club Detroit or Edsel & Eleanor Ford House,15000,11000,3,
miami,Venue,1,Vizcaya Museum & Gardens or The Biltmore Hotel Coral Gables,38000,23000,1,
miami,Venue,1,Faena Hotel Miami Beach or Private waterfront estates,32000,19000,2,
miami,Venue,3,Fontainebleau Miami Beach or 1 Hotel South Beach,22000,13500,1,
miami,Venue,3,The Setai Miami Beach or W South Beach,18000,11000,2,
miami,Venue,3,Loews Miami Beach Hotel or EAST Miami,14500,8500,3,
boston,Venue,3,The Fairmont Copley Plaza or The Liberty Hotel,22000,15500,1,
boston,Venue,3,Four Seasons Hotel Boston or Mandarin Oriental Boston,18000,13000,2,
boston,Venue,3,Boston Park Plaza or The Langham Boston,14500,10500,3,
chicago,Venue,3,The Drake Hotel or The Langham Chicago,26000,18500,1,
chicago,Venue,3,LondonHouse Chicago or Four Seasons Hotel Chicago,21000,15000,2,
chicago,Venue,3,Loews Chicago Hotel or theWit Hotel,16500,12000,3,
seattle,Venue,3,Four Seasons Hotel Seattle or The Edgewater Hotel,20000,14500,1,
seattle,Venue,3,The Woodmark Hotel or Hotel Sorrento,16000,11500,2,
seattle,Venue,3,Seattle Marriott Waterfront or The Westin Seattle,12500,9000,3,
phoenix,Venue,3,Four Seasons Scottsdale at Troon North or Royal Palms Resort,20000,10000,1,
phoenix,Venue,3,The Phoenician or The Westin Kierland Resort,16000,7500,2,
phoenix,Venue,3,JW Marriott Phoenix Desert Ridge or The Wigwam,12500,5500,3,
napa-sonoma,Florals & Decor,1,Studios like Kathleen Deery Design or Nancy Liu Chin Designs,55000,44000,1,
napa-sonoma,Florals & Decor,1,Fleurs de France or Mindy Rice Design,48000,38000,2,
